Gene	Transcript
ARID1A  NM_006015.6
ATM	NM_000051.3
B2M	NM_004048.3
BCL2	NM_000633.2
BCL6	NM_001706.5
BIRC3	NM_001165.5
BRAF	NM_004333.6
BTK	NM_000061.2
CARD11	NM_032415.6
CCND1	NM_053056.3
CCND3	NM_001760.4
CD79B	NM_00626.4
CDKN2A	NM_000077.4
CREBBP	NM_004380.3
CXCR4	NM_003467.3
DIS3	NM_014953.5
DNMT3A	NM_175629.2
EP300	NM_001429.4
ETV6	NM_001987.5
EZH2	NM_004456.3
FAM46C (TENT5C)	NM_017709.4
FAS	NM_152872.4
FBXW7	NM_033632.3
FOXO1	NM_002015.4
GNA13	NM_006572.6
HRAS	NM_005343.4
ID3	NM_002167.5
IDH2	NM_002168.3
IRF4	NM_002460.4
KMT2D	NM_003482.3
KRAS	NM_004985.5
MAP2K1	NM_002755.3
MEF2B	NM_001145785.2
MYC	NM_002467.6
MYD88	NM_002468.5
NFKBIE	NM_004556.3
NOTCH1	NM_017617.5
NOTCH2	NM_024408.4
NRAS	NM_002524.5
PAX5	NM_016734.3
PIM1	NM_001243186.2
PLCG2	NM_002661.5
POT1	NM_015450.3
PRDM1	NM_001198.4
PTEN	NM_000314.8
RHOA	NM_001664.4
RPS15	NM_001018.4
SAMHD1	NM_015474.3
SF3B1	NM_012433.3
SGK1	NM_005627.4
SMARCA4	NM_003072.4
SOCS1	NM_003745.1
STAT3	NM_213662.2
STAT5B	NM_012448
STAT6	NM_003153.5
TET2	NM_001127208.2
TNFAIP3	NM_006290.4
TNFRSF14	NM_003820.3
TP53	NM_000546.5
XPO1	NM_003400.4
